      gamma_real      gamma_imag      sigma_real      sigma_imag              Ep         Ep_imag       Correstep
            4.00            5.24            1.00            0.40             NaN             NaN             NaN
            4.00            5.24            1.00            0.60             NaN             NaN             NaN
            4.00            5.24            1.00            0.80             NaN             NaN             NaN
            4.00            5.24            1.20            0.20      0.25081372      0.05002932      2.20509519
            4.00            5.24            1.20            0.40             NaN             NaN             NaN
            4.00            5.24            1.20            0.60      0.25125459      0.15012238      2.24194132
            4.00            5.24            1.20            0.80             NaN             NaN             NaN
            4.00            5.24            1.20            1.00             NaN             NaN             NaN
            4.00            6.28            0.20            0.00      0.24986050      0.00000000      4.68975517
            4.00            6.28            0.40            0.00      0.25002943      0.00000000      3.41808429
            4.00            6.28            0.40            0.20             NaN             NaN             NaN
            4.00            6.28            0.60            0.00      0.25005633      0.00000000      2.76560180
            4.00            6.28            0.60            0.20      0.25012248      0.05001012      2.99513052
            4.00            6.28            0.60            0.40      0.25034700      0.10002227      3.00849366
            4.00            6.28            0.80            0.00      0.25024395      0.00000000      2.75607311
            4.00            6.28            0.80            0.20             NaN             NaN             NaN
            4.00            6.28            0.80            0.40      0.25048487      0.10003121      2.71308409
            4.00            6.28            0.80            0.60      0.25052715      0.15009700      2.67892916
            4.00            6.28            1.00            0.00      0.25054402      0.00000000      1.99963964
            4.00            6.28            1.00            0.20      0.25052748      0.05001742      2.27119395
            4.00            6.28            1.00            0.40      0.25068561      0.10005740      2.43061163
            4.00            6.28            1.00            0.60             NaN             NaN             NaN
            4.00            6.28            1.00            0.80             NaN             NaN             NaN
            4.00            6.28            1.20            0.00      0.25077221      0.00000000      2.24676602
            4.00            6.28            1.20            0.20             NaN             NaN             NaN
            4.00            6.28            1.20            0.40      0.25090365      0.10003187      2.35541957
            4.00            6.28            1.20            0.60      0.25145907      0.15004050      2.17018839
            4.00            6.28            1.20            0.80             NaN             NaN             NaN
            4.00            6.28            1.20            1.00             NaN             NaN             NaN
            5.00            0.00            0.20            0.00      0.24999309      0.00000000      3.08182837
            5.00            0.00            0.40            0.00      0.25018171      0.00000000      2.45574954
            5.00            0.00            0.40            0.20      0.25013558      0.05002119      2.56668289
            5.00            0.00            0.60            0.00      0.25028582      0.00000000      2.25486521
            5.00            0.00            0.60            0.20      0.25030176      0.05000227      2.28707567
            5.00            0.00            0.60            0.40             NaN             NaN             NaN
            5.00            0.00            0.80            0.00      0.25053032      0.00000000      1.79269301
            5.00            0.00            0.80            0.20      0.25077677      0.04998897      2.01170478
            5.00            0.00            0.80            0.40      0.25101745      0.10006731      1.94018508
            5.00            0.00            0.80            0.60             NaN             NaN             NaN
            5.00            0.00            1.00            0.00      0.25088478      0.00000000      1.63323832
            5.00            0.00            1.00            0.20             NaN             NaN             NaN
            5.00            0.00            1.00            0.40      0.25136075      0.10006959      1.89809311
            5.00            0.00            1.00            0.60      0.25183353      0.15020069      1.79114985
            5.00            0.00            1.00            0.80             NaN             NaN             NaN
            5.00            0.00            1.20            0.00      0.25123518      0.00000000      1.65042433
            5.00            0.00            1.20            0.20      0.25162540      0.05000305      1.51534064
            5.00            0.00            1.20            0.40             NaN             NaN             NaN
            5.00            0.00            1.20            0.60             NaN             NaN             NaN
            5.00            0.00            1.20            0.80      0.25274792      0.20043960      1.65332750
            5.00            0.00            1.20            1.00             NaN             NaN             NaN
            5.00            1.05            0.40            0.20      0.25021167      0.05001623      2.56331726
            5.00            1.05            0.60            0.20      0.25040840      0.05002889      2.11069084
            5.00            1.05            0.60            0.40      0.25030716      0.10012007      2.18834973
            5.00            1.05            0.80            0.20      0.25071534      0.05000423      1.88869508
            5.00            1.05            0.80            0.40      0.25095700      0.10004741      1.97410211
            5.00            1.05            0.80            0.60      0.25171422      0.15017180      2.02104294
            5.00            1.05            1.00            0.20      0.25107178      0.05000486      1.68885675
            5.00            1.05            1.00            0.40      0.25131271      0.10003931      1.92853405
            5.00            1.05            1.00            0.60             NaN             NaN             NaN
            5.00            1.05            1.00            0.80      0.25257934      0.20038751      1.83618133
            5.00            1.05            1.20            0.20             NaN             NaN             NaN
            5.00            1.05            1.20            0.40             NaN             NaN             NaN
            5.00            1.05            1.20            0.60      0.25232445      0.15021025      1.60108735
            5.00            1.05            1.20            0.80      0.25262244      0.20048856      1.71206597
            5.00            1.05            1.20            1.00             NaN             NaN             NaN
            5.00            2.09            0.40            0.20      0.25024180      0.05000199      2.70780450
            5.00            2.09            0.60            0.20      0.25019385      0.05003833      2.21773750
            5.00            2.09            0.60            0.40             NaN             NaN             NaN
            5.00            2.09            0.80            0.20             NaN             NaN             NaN
            5.00            2.09            0.80            0.40             NaN             NaN             NaN
            5.00            2.09            0.80            0.60             NaN             NaN             NaN
            5.00            2.09            1.00            0.20      0.25097128      0.04999749      1.99197631
            5.00            2.09            1.00            0.40      0.25120018      0.10005330      2.08879335
            5.00            2.09            1.00            0.60             NaN             NaN             NaN
            5.00            2.09            1.00            0.80             NaN             NaN             NaN
            5.00            2.09            1.20            0.20      0.25134979      0.05003214      1.68648942
            5.00            2.09            1.20            0.40             NaN             NaN             NaN
            5.00            2.09            1.20            0.60             NaN             NaN             NaN
            5.00            2.09            1.20            0.80             NaN             NaN             NaN
            5.00            2.09            1.20            1.00             NaN             NaN             NaN
            5.00            3.14            0.40            0.20      0.25029563      0.05000264      2.94096771
            5.00            3.14            0.60            0.20      0.25033835      0.04999313      2.56246610
            5.00            3.14            0.60            0.40             NaN             NaN             NaN
            5.00            3.14            0.80            0.20             NaN             NaN             NaN
            5.00            3.14            0.80            0.40             NaN             NaN             NaN
            5.00            3.14            0.80            0.60             NaN             NaN             NaN
            5.00            3.14            1.00            0.20      0.25099229      0.05000021      1.86668167
            5.00            3.14            1.00            0.40      0.25116385      0.09998487      1.97708888
            5.00            3.14            1.00            0.60             NaN             NaN             NaN
            5.00            3.14            1.00            0.80             NaN             NaN             NaN
            5.00            3.14            1.20            0.20      0.25127861      0.04998344      2.05219454
            5.00            3.14            1.20            0.40      0.25151681      0.10002832      1.86937315
            5.00            3.14            1.20            0.60      0.25204404      0.15018491      1.85454956
            5.00            3.14            1.20            0.80      0.25227551      0.20036418      1.84540874
            5.00            3.14            1.20            1.00             NaN             NaN             NaN
            5.00            4.19            0.40            0.20             NaN             NaN             NaN
            5.00            4.19            0.60            0.20      0.25020748      0.04999738      2.74540720
            5.00            4.19            0.60            0.40      0.25070137      0.10001345      2.60874530
            5.00            4.19            0.80            0.20      0.25043683      0.05002953      2.25137244
            5.00            4.19            0.80            0.40             NaN             NaN             NaN
            5.00            4.19            0.80            0.60             NaN             NaN             NaN
            5.00            4.19            1.00            0.20             NaN             NaN             NaN
            5.00            4.19            1.00            0.40             NaN             NaN             NaN
            5.00            4.19            1.00            0.60             NaN             NaN             NaN
            5.00            4.19            1.00            0.80      0.25082635      0.20034038      2.03789606
            5.00            4.19            1.20            0.20             NaN             NaN             NaN
            5.00            4.19            1.20            0.40             NaN             NaN             NaN
            5.00            4.19            1.20            0.60             NaN             NaN             NaN
            5.00            4.19            1.20            0.80             NaN             NaN             NaN
            5.00            4.19            1.20            1.00             NaN             NaN             NaN
            5.00            5.24            0.40            0.20      0.25009982      0.05001010      3.31897083
            5.00            5.24            0.60            0.20      0.25027490      0.05000585      2.66527916
            5.00            5.24            0.60            0.40      0.25043320      0.10004646      2.61574359
            5.00            5.24            0.80            0.20      0.25059085      0.04999639      2.35281638
            5.00            5.24            0.80            0.40      0.25067550      0.10001657      2.48215164
            5.00            5.24            0.80            0.60             NaN             NaN             NaN
            5.00            5.24            1.00            0.20      0.25067363      0.05001036      2.22260206
            5.00            5.24            1.00            0.40      0.25097497      0.09995799      2.13170297
            5.00            5.24            1.00            0.60             NaN             NaN             NaN
